id,created_at,text
828840393546539008,2017-02-07 05:38:43,"Inevitable tv/movie of @JHickman &amp;  Tomm Coker’s The Black Monday Murders: undecided on Jaime Murray, Molly Parker or Rebecca Hall as Ria"
828800759835848705,2017-02-07 03:01:14,"For all the digital comics I’ve been reading lately, there’s nothing like the smell of a new, physical graphic novel."
828480602970144768,2017-02-06 05:49:02,"RT @MaryEMcGlynn: NORTH CAROLINIANS! DeVos Update!! 
Thom Tillis's office says he's undecided and wants to hear from people.
(919) 856-4630…"
827355959475437569,2017-02-03 03:20:06,@Jordan_Crane also: https://t.co/ZLMasw7FTC
827015051861225472,2017-02-02 04:45:28,RT @rejectnation: Movie News After Dark: It’s Official - Denis Villeneuve Will Direct ‘Dune.' https://t.co/xD9ERZZ2nu https://t.co/5ervkREf…
827001295164813312,2017-02-02 03:50:48,RT @iamdevloper: How can I dedicate any time to making myself happy when 80% of my time is spent keeping a linter happy?
826819680862162946,2017-02-01 15:49:08,.@cjwardart this was in my feed and seriously thought it was another one of your cosmic textures https://t.co/Db7xeA3ZYA
826713118696996864,2017-02-01 08:45:41,"RT @xeni: 5 years. Not because I'm courageous, brave, am magical, or have a positive attitude. Because health care. Save #ACA. I'm an “unin…"
826712798025637889,2017-02-01 08:44:25,"RT @MordorNPS: We'd like to repeat again that yes, open campfires are allowed in Mordor National Park. Everything here is on fire. #Welcome…"
826608393431482368,2017-02-01 01:49:33,RT @LindaMNoonan: @AnnCoulter Here is what #hypocrisy looks like https://t.co/k6k7OuqcjO
826114011762741248,2017-01-30 17:05:03,Usually they just offer me delicious foods. https://t.co/h9KscGGqPA
825974183276531712,2017-01-30 07:49:25,"RT @cramforce: Google creates $4 million crisis fund going to @ACLU et.al.
https://t.co/X637WKhUDw"
825902505309663296,2017-01-30 03:04:36,"Never thought I’d see Jemaine of FoTC troll Chachi aka Charles in Charles.  RT @AJemaineClement: Sit on it, Chachi. https://t.co/jQnH3FCkWh"
825870453239644161,2017-01-30 00:57:14,@BrianLieberman do you have something long enough that can reach the power button?  Don’t go near it.
825764886982574080,2017-01-29 17:57:45,RT @cjwardart: We are all made of stars https://t.co/fi8o8x5FXO
825544238477742081,2017-01-29 03:20:58,@Lussenpop this is my favorite tweet ever.
825541849460985857,2017-01-29 03:11:29,RT @kumailn: The bar for being a superhero is so low right now. You just have to show compassion &amp; empathy. You don't need capes or karate.…
825537880281985025,2017-01-29 02:55:43,"RT @stevenf: Immigrant and American business owner here. I'll match up to $10,000 in donations to ACLU. Email or tweet me your receipt."
825536812206678017,2017-01-29 02:51:28,"RT @bchesky: Airbnb is providing free housing to refugees and anyone not allowed in the US. Stayed tuned for more, contact me if urgent nee…"
825492436604575746,2017-01-28 23:55:08,RT @NYCMayorsOffice: LITERALLY on the ground. Volunteer lawyers are working pro-bono on a Saturday preparing habeus corpus petitions for de…
825404847876931585,2017-01-28 18:07:05,RT @MarkHarrisNYC: The people angry at Trump's order ride subways &amp; buses with Muslims every day. The people cheering it have never met one…
825281976647217152,2017-01-28 09:58:50,"RT @normwilner: One week. One week and it's a dictatorship. Way to go, America. https://t.co/0cJrARdSEg"
824497903775408129,2017-01-26 06:03:13,"RT @TheEllenShow: For every retweet of this, Bell will donate 5 cents to Canadian Mental Health Programs, and I think that’s amazing. #Bell…"
824452472110546944,2017-01-26 03:02:41,RT @TheRealStanLee: #nuffSaid https://t.co/SEUesGA7R7
824399764951355399,2017-01-25 23:33:15,@JHickman bought. That shit is gorgeous.
824158459365064705,2017-01-25 07:34:23,RT @YAppelbaum: NEH and NEA together received just under $300m in 2015—military bands received $437m that year. https://t.co/xOztoQdZeo htt…
823346370702667777,2017-01-23 01:47:26,"RT @gothamchopra: ""The Party told you to reject all evidence of your eyes and ears. It was their final, most essential command.""
~ 1984 by…"
823342628527898624,2017-01-23 01:32:34,RT @USATODAY: There were a lot of empty seats in the stands along Trump's parade route https://t.co/xZHPi968NZ https://t.co/jgxDxFnB3D
823121798535532544,2017-01-22 10:55:04,RT @Marv_Vien: John Kerry spent his first day as a private citizen after 34 years at the #WomensMarch. https://t.co/qC19Uy9kfg
822872405727215616,2017-01-21 18:24:04,"RT @robgindes: If you're like me and skipped the women's march, help stent the overwhelming regret by donating. Orgs love your support but…"
822872243327930369,2017-01-21 18:23:25,RT @skaufman4050: Best. Sign. Ever. #WomensMarch #womensmarchnyc #sobadevenintrovertsarehere https://t.co/TmJydvooqu
822539077136347137,2017-01-20 20:19:32,@AJemaineClement @allissonCD here comes lord xenu
822362922672386048,2017-01-20 08:39:34,#ThankYouObama
822281703393730562,2017-01-20 03:16:50,I wonder for how many more years the line “cleaner than a nun’s browser history” will be relevant.
821963906923065347,2017-01-19 06:14:01,@erikrogneby hickory dickory dock…
821928421911621633,2017-01-19 03:53:01,"RT @FLOTUS: Being your First Lady has been the honor of a lifetime. From the bottom of my heart, thank you. -mo https://t.co/pahEydkZ5Z"
821547649652428800,2017-01-18 02:39:57,@TheAliceLimoges I would totally bail. That is nightmare #1 for me.
821547251369701376,2017-01-18 02:38:22,"RT @MattGarrahan: Obama on why he can't pardon Snowden: ""I can't pardon somebody who hasn't gone before a court."" https://t.co/xsMc2KdH9f h…"
821113264490872832,2017-01-16 21:53:52,RT @chef: Have a great topic for #ChefConf that you'd like to see someone else present? Nominate a talk or speaker here: https://t.co/mbLIt…
